"Km","Region","Sælger","Diesel","Alder","Pris"
155,"Jylland","ja","nej",9,59.9
145,"Jylland","ja","nej",10,75
117,"Sjælland","ja","nej",11,69.9
210,"Jylland","ja","nej",10,52
175,"Sjælland","ja","nej",8,68
177,"Jylland","ja","nej",9,74.999
134,"København","ja","nej",11,45
101,"Jylland","ja","nej",5,109.5
180,"København","ja","nej",11,45
205,"København","ja","nej",9,60
78.6,"Jylland","ja","nej",10,69.9
112,"Sjælland","ja","nej",9,84.9
159,"Fyn","ja","nej",10,59.8
150,"Jylland","ja","nej",10,70
117,"København","ja","ja",5,89
139,"Fyn","ja","ja",8,72.8
193,"Sjælland","ja","ja",9,69.9
228,"Jylland","ja","ja",10,53.9
190,"København","ja","ja",9,62
263,"Jylland","ja","ja",10,62.5
234,"Jylland","ja","ja",9,59.9
120,"Jylland","ja","ja",8,79.9
236,"Jylland","ja","ja",8,56.5
147,"Jylland","ja","ja",8,73
178,"Jylland","ja","ja",9,69.9
222,"Jylland","ja","ja",9,71
292.8,"Jylland","ja","ja",8,64.9
209,"København","ja","ja",9,59.995
238,"Jylland","ja","ja",9,49.9
104.5,"Jylland","ja","ja",5,89.5
117.5,"Sjælland","ja","ja",6,94.835
80,"Jylland","ja","ja",5,110
133,"Jylland","ja","ja",6,92
170,"Jylland","ja","ja",6,82
121,"Jylland","ja","ja",6,87
235,"København","ja","ja",10,49
78,"København","ja","nej",8,89.8
25,"København","ja","ja",4,130
204,"Jylland","ja","nej",11,39.9
255,"København","ja","nej",11,45
42,"Jylland","ja","ja",2,119
136,"Sjælland","ja","ja",8,64.3
78,"Jylland","ja","ja",4,115
37,"København","ja","ja",6,80
224,"Jylland","ja","ja",7,74.9
73,"Jylland","ja","ja",4,117
77,"Jylland","ja","ja",3,94.9
97,"Jylland","ja","ja",7,88.9
122,"Jylland","ja","ja",5,95
111,"København","ja","nej",7,65
171,"Jylland","ja","nej",8,59.8
79.5,"Jylland","ja","ja",4,118
77,"Jylland","ja","ja",4,104.9
169,"København","ja","ja",7,78
90,"Jylland","ja","ja",4,89
119.5,"Fyn","ja","ja",5,90
73.4,"Jylland","ja","nej",5,110
13,"København","ja","ja",2,119.9
113.6,"Jylland","ja","nej",11,47.8
82,"Sjælland","ja","nej",5,85
71.2,"Sjælland","ja","ja",5,107.9
97,"Jylland","ja","ja",6,87.5
10,"Jylland","ja","ja",2,129.9
29.5,"Fyn","ja","ja",2,130
161,"Jylland","ja","ja",5,84.9
49,"København","ja","ja",3,109.8
22,"Fyn","ja","ja",3,100
147,"Sjælland","ja","ja",5,90
145,"Jylland","ja","ja",10,55
79,"Jylland","ja","ja",5,105.9
150,"Sjælland","ja","nej",6,109
136,"Jylland","ja","ja",7,66.5
45,"Jylland","ja","nej",6,100
139,"København","ja","ja",6,78
158,"Sjælland","ja","ja",5,99.9
129,"Sjælland","ja","ja",7,70
42,"Jylland","ja","nej",4,125
80,"Jylland","ja","ja",5,94
129,"Sjælland","ja","ja",7,75
134,"København","ja","nej",11,42.5
126,"Jylland","ja","nej",7,60
19.5,"København","ja","nej",5,92.9
108,"Jylland","ja","ja",5,100
149,"Jylland","ja","nej",10,44.9
107,"Jylland","ja","ja",6,95.5
77,"Jylland","ja","nej",5,111.9
90,"Jylland","ja","ja",5,92
54,"Sjælland","ja","ja",3,114
83.5,"Jylland","ja","ja",5,119
81,"Jylland","ja","ja",5,90
71,"Jylland","ja","nej",8,70
122,"København","ja","nej",11,46.9
251,"Jylland","ja","ja",10,44.5
177.66,"Sjælland","ja","ja",5,110.8
126,"Jylland","ja","ja",7,79.9
181,"Jylland","ja","ja",6,68
104,"Jylland","ja","ja",8,99.9
125,"Jylland","ja","ja",5,104
89.5,"Sjælland","ja","nej",4,110
115,"Jylland","ja","ja",4,102.5
72,"København","ja","ja",3,110
138.9,"Jylland","ja","nej",10,51
138,"Jylland","ja","nej",9,69.9
23.99,"Jylland","ja","ja",3,119
120,"Jylland","ja","ja",6,99.9
37,"Jylland","ja","ja",3,118
79,"Jylland","ja","ja",7,89.999
49,"København","ja","nej",4,129
182,"Jylland","ja","nej",11,52
85.7,"København","ja","ja",6,110
118,"København","ja","nej",5,69.9
36,"Jylland","ja","nej",3,109.9
25,"Fyn","ja","ja",2,127.5
270,"Jylland","ja","ja",9,56.5
77,"Jylland","ja","nej",5,111.9
48.5,"København","ja","nej",4,105
76.7,"Jylland","ja","nej",7,79
53,"København","ja","ja",4,145
5,"København","ja","ja",2,130
14,"Jylland","ja","ja",2,129.5
105,"Jylland","ja","ja",5,84
63.109,"København","ja","nej",8,72
139.871,"København","ja","ja",7,72
99,"København","ja","nej",8,79
261,"Jylland","ja","nej",9,45.5
88,"København","ja","ja",6,89.5
29,"København","ja","nej",4,97.75
108,"Sjælland","ja","nej",8,77.5
52,"Jylland","ja","ja",4,109.9
82,"København","ja","nej",11,51.5
152,"Jylland","ja","nej",11,45.9
167,"København","ja","ja",6,85
125.5,"Jylland","ja","ja",7,114.9
